Name,Genre,Platform,Release_Season,NA_Sales_Millions,EU_Sales_Millions,Global_Sales_Millions,Developer,Original_Index,User_Score,Rating,Publisher,Steam_App_ID,Price,Year_of_Release
Pro Race Driver,Racing,XB,Summer,0.03,0.01,0.04,Codemasters,13943,7.5,T,Codemasters,-1.0,,2003.0
Tom Clancy's HAWX,Action,PC,Spring,0.0,0.03,0.04,Ubisoft Romania,13579,7.3,T,Ubisoft,-1.0,,2009.0
S.T.A.L.K.E.R.: Clear Sky,Role-Playing,XB,Fall,0.03,0.01,0.04,GSC Game World,14122,,,THQ,20510.0,$7.89,2003.0
Get Up and Dance,Misc,PS3,Fall,0.03,0.0,0.04,Crave,13654,tbd,T,O-Games,-1.0,,2011.0
Pac-Man World Rally,Racing,PSP,Summer,0.04,0.0,0.04,Smart Bomb Interactive,13700,tbd,E,Namco Bandai Games,-1.0,,2006.0
The Wolf Among Us,Adventure,PSV,Fall,0.03,0.0,0.04,Telltale Games,13627,8.4,M,Telltale Games,-1.0,$5.72,2014.0
Guilty Gear XX Accent Core,Fighting,PS2,Spring,0.0,0.0,0.04,Arc System Works,13513,8.3,T,Unknown,-1.0,$3.19,2007.0
TOCA Race Driver 2,Racing,XB,Spring,0.03,0.01,0.04,Codemasters,13547,8.3,T,Codemasters,-1.0,,2004.0
Halo: Combat Evolved,Shooter,PC,Fall,0.02,0.02,0.04,Gearbox Software,13992,7.4,M,Microsoft Game Studios,-1.0,,2003.0
Doom II: Hell on Earth,Shooter,GBA,Fall,0.03,0.01,0.04,"Arsi ""Hakita"" Patala",13980,,,Activision,-1.0,,2002.0
Grand Theft Auto: Vice City,Action,PC,Fall,0.0,0.03,0.04,Rockstar North,13876,8.8,M,Take-Two Interactive,-1.0,$23.99,2003.0
Luxor: Pharaoh's Challenge,Puzzle,Wii,Fall,0.01,0.02,0.04,MumboJumbo,13875,tbd,E,Funsta,-1.0,,
Napoleon Dynamite: The Game,Puzzle,PSP,Fall,0.03,0.0,0.04,7 Studios,14058,4.6,E10+,Crave Entertainment,-1.0,,2007.0
Metal Gear Solid V: The Definitive Experience,Action,PS4,Fall,0.01,0.02,0.04,Kojima Productions,13916,7.8,M,Konami Digital Entertainment,-1.0,$20.49,2016.0
JASF: Jane's Advanced Strike Fighters,Simulation,PC,Fall,0.02,0.01,0.04,Trickstar Games,13904,3.1,T,Deep Silver,-1.0,,2011.0
Astro Boy: The Video Game,Action,PSP,Fall,0.04,0.0,0.04,High Voltage Software,13891,tbd,E10+,D3Publisher,-1.0,,2009.0
World of Goo,Puzzle,PC,Fall,0.0,0.03,0.04,2D Boy,14098,8.5,E,2D Boy,-1.0,$14.99,2008.0
Stellaris,Adventure,PSP,Spring,0.0,0.0,0.04,Paradox Development Studio,13746,,,Idea Factory,281990.0,$9.99,2011.0
Men of War: Vietnam,Strategy,PC,Fall,0.0,0.03,0.04,Best Way,13817,4.9,T,Unknown,-1.0,$0.67,2011.0
Yes! PreCure 5,Action,DS,Fall,0.0,0.0,0.04,,13523,,,Namco Bandai Games,-1.0,,2007.0
Need for Speed: ProStreet,Racing,PC,Fall,0.0,0.04,0.04,EA Games,13691,5.9,E10+,Electronic Arts,-1.0,,2007.0
Guilty Gear XX Accent Core,Fighting,Wii,Spring,0.03,0.0,0.04,Arc System Works,13740,8.4,T,505 Games,-1.0,$3.19,2007.0
