Name,Platform,Global_Sales_Millions,EU_Sales_Millions,NA_Sales_Millions,Publisher,Release_Season,Original_Index,Steam_App_ID
Sid Meier's Civilization VI,PC,0.25,0.13,0.09,Take-Two Interactive,Fall,6754,
Harvest Moon: Magical Melody,GC,0.24,0.05,0.19,Ubisoft,Fall,6803,
Rise of the Tomb Raider,PC,0.12,0.11,0.0,Square Enix,Fall,9799,
Kill.Switch,XB,0.24,0.05,0.18,Namco Bandai Games,Fall,6818,
Pro Evolution Soccer 2012,Wii,0.21,0.08,0.08,Konami Digital Entertainment,Fall,7404,
Batman: Arkham Origins Blackgate,3DS,0.27,0.09,0.16,Warner Bros. Interactive Entertainment,Fall,6351,
The Wolf Among Us,PS4,0.21,0.07,0.1,Telltale Games,Fall,7408,
Final Fight One,GBA,0.21,0.03,0.09,Ubisoft,Fall,7479,
True Crime: New York City,GC,0.17,0.03,0.13,Activision,Fall,8247,
Alien: Isolation,PC,0.14,0.14,0.0,Sega,Fall,9036,
Power Rangers: Super Legends,PS2,0.14,0.06,0.07,Disney Interactive Studios,Fall,9006,
World Destruction League: Thunder Tanks,PS2,0.17,0.07,0.08,3DO,Fall,8285,
Cars: Mater-National Championship,X360,0.14,0.0,0.13,THQ,Fall,8989,
Age of Empires III: Complete Collection,PC,0.17,0.12,0.01,Microsoft Game Studios,Fall,8305,
NBA 09: The Inside,PSP,0.17,0.0,0.16,Sony Computer Entertainment,Fall,8313,
Rayman Origins,3DS,0.15,0.08,0.06,Ubisoft,Fall,8969,
Garfield: Lasagna World Tour,PS2,0.17,0.06,0.08,Blast! Entertainment Ltd,Fall,8357,
World Destruction League: Thunder Tanks,PS,0.17,0.06,0.09,3DO,Fall,8362,
The Legend of Heroes: Trails of Cold Steel II,PS3,0.15,0.02,0.02,Nippon Ichi Software,Fall,8920,
FIFA Soccer 2005,GC,0.14,0.03,0.11,Electronic Arts,Fall,9052,
Pac-Man World 3,XB,0.15,0.04,0.11,Namco Bandai Games,Fall,8916,
Pac-Man World 3,DS,0.17,0.0,0.15,Namco Bandai Games,Fall,8444,
NBA 09: The Inside,PS2,0.17,0.06,0.08,Sony Computer Entertainment,Fall,8446,
Taz Wanted,PS2,0.16,0.06,0.08,Atari,Fall,8463,
NBA Live 08,Wii,0.16,0.0,0.14,Electronic Arts,Fall,8552,
Dishonored,XOne,0.15,0.05,0.09,Bethesda Softworks,Fall,8881,
