Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,Original_Index,Release_Season
Max Payne 3,X360,2012.0,Shooter,Take-Two Interactive,0.86,0.62,1.62,869.0,Rockstar Studios,1134,Spring
Dragon Quest IV: Chapters of the Chosen,DS,2007.0,Role-Playing,Square Enix,0.3,0.02,1.62,50.0,ArtePiazza,1143,Winter
River Raid,2600,1981.0,Shooter,Activision,1.49,0.09,1.6,,,1154,Winter
Sonic Heroes,GC,2003.0,Platform,Sega,1.05,0.44,1.6,125.0,Sonic Team,1157,Winter
Mario Bros.,2600,1982.0,Platform,Atari,1.48,0.09,1.59,,,1164,Winter
Sonic Generations,PS3,2011.0,Platform,Sega,0.6,0.69,1.58,253.0,Sega,1172,Fall
Devil May Cry 4,PS3,2008.0,Action,Capcom,0.58,0.45,1.57,311.0,Capcom,1175,Winter
Pro Evolution Soccer 2010,PS2,2009.0,Sports,Konami Digital Entertainment,0.1,0.18,1.57,15.0,Konami,1177,Fall
Conflict: Desert Storm,PS2,2002.0,Shooter,Gotham Games,0.98,0.53,1.57,45.0,Pivotal Games,1184,Fall
LEGO Harry Potter: Years 1-4,X360,2010.0,Action,Warner Bros. Interactive Entertainment,0.95,0.46,1.55,62.0,Traveller's Tales,1203,Summer
Wolfenstein: The New Order,PS4,2014.0,Shooter,Bethesda Softworks,0.47,0.8,1.55,1116.0,MachineGames,1208,Spring
BioShock 2,PS3,2010.0,Shooter,Take-Two Interactive,0.85,0.46,1.54,492.0,2K Marin,1211,Winter
Pro Evolution Soccer 2013,PS3,2012.0,Sports,Konami Digital Entertainment,0.18,0.63,1.53,146.0,Konami,1221,Fall
Mortal Kombat 3,SNES,1994.0,Fighting,Acclaim Entertainment,1.19,0.29,1.53,,,1222,Spring
Dishonored,PS3,2012.0,Action,Bethesda Softworks,0.72,0.52,1.53,781.0,Arkane Studios,1224,Fall
Resident Evil: The Umbrella Chronicles,Wii,2007.0,Action,Capcom,0.67,0.43,1.52,122.0,Cavia Inc.,1228,Fall
