Name,Steam_App_ID,Position,Release_Date,Release_Season
Just Cause,6880.0,9177,2006-09-22,Fall
Enclave,253980.0,9195,2003-03-10,Spring
7 Days to Die,251570.0,9199,2024-07-25,Summer
The Darkness II,67370.0,9210,2012-02-09,Winter
Dragon Age: Origins - Ultimate Edition,47810.0,9227,2010-10-26,Fall
DmC: Devil May Cry,220440.0,9234,2013-01-24,Winter
Call of Duty: Infinite Warfare,292730.0,9294,2016-11-03,Fall
Euro Truck Simulator 2,227300.0,9412,2012-10-18,Fall
Total War: WARHAMMER,364360.0,9435,2016-05-24,Spring
Batman: Arkham Knight,208650.0,9462,2015-06-23,Summer
Resident Evil,304240.0,9649,2015-01-19,Winter
Just Cause 2,8190.0,9658,2010-03-23,Spring
DiRT Rally,310560.0,9670,2015-12-07,Winter
Sleeping Dogs,202170.0,9676,,
Rise of the Tomb Raider,391220.0,9800,2016-02-09,Winter
Farming Simulator 17,447020.0,9815,2016-10-24,Fall
Dishonored 2,403640.0,9816,2016-11-11,Fall
Psychonauts,3830.0,9888,2005-04-19,Spring
Alice: Madness Returns,19680.0,9907,2011-06-17,Summer
Tropico 5,245620.0,9948,2014-05-23,Spring
Grand Theft Auto: San Andreas,12120.0,10313,2005-06-06,Summer
Zombie Army Trilogy,301640.0,10318,2015-03-06,Spring
Terraria,105600.0,10578,2011-05-16,Spring
The Walking Dead: Season Two,261030.0,10729,2013-12-17,Winter
The Walking Dead: Season Two,261030.0,10732,2013-12-17,Winter
Burnout Paradise: The Ultimate Box,24740.0,10875,2009-02-03,Winter
X-COM: UFO Defense,7760.0,10893,1993-12-31,Winter
Psychonauts,3830.0,10910,2005-04-19,Spring
Football Manager 2017,482730.0,10965,2016-11-03,Fall
Terraria,105600.0,11170,2011-05-16,Spring
Red Faction: Armageddon,55110.0,11221,2011-06-09,Summer
Counter-Strike: Source,240.0,11289,2004-11-01,Fall
Titanfall 2,1237970.0,11452,2016-10-28,Fall
Sniper: Ghost Warrior 2,34870.0,11497,2013-03-11,Spring
Resident Evil 6,221040.0,11585,2013-03-22,Spring
Metal Gear Solid V: The Phantom Pain,287700.0,11660,2015-09-01,Fall
Torchlight,41500.0,11820,2009-10-27,Fall
Dark Souls III,374320.0,11893,2016-04-11,Spring
Burnout Paradise: The Ultimate Box,24740.0,11980,2009-02-03,Winter
Resident Evil 5,21690.0,12201,2009-09-15,Fall
Terraria,105600.0,12230,2011-05-16,Spring
