Name,Steam_App_ID,Position,Release_Date,Release_Season,Platform,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,steam_price_usd,metacritic_score,total_recommendations
Oddworld: Abe's Oddysee,15700.0,1606,1997-12-12,Winter,PS2,Action,Namco Bandai Games,0.24,0.19,1.24,6.0,Namco,,,
Bayonetta,460790.0,1669,2017-04-11,Spring,PS,Racing,Electronic Arts,0.67,0.46,1.21,,,,,
Fallout: New Vegas,22380.0,1732,2010-10-21,Fall,PS,Sports,989 Studios,0.65,0.44,1.17,,,,,
Spore,17390.0,1738,2008-12-19,Winter,PS,Racing,Psygnosis,0.65,0.44,1.17,,,,,
Mirror's Edge,17410.0,1745,2009-01-13,Winter,PS3,Platform,Sega,0.41,0.06,1.16,176.0,Sonic Team,,,
Naruto Shippuden: Ultimate Ninja Storm 4,349040.0,1802,2016-02-04,Winter,XB,Simulation,Microsoft Game Studios,1.01,0.1,1.13,47.0,Day 1 Studios,,,
Mirror's Edge,17410.0,1811,2009-01-13,Winter,X360,Misc,Activision,0.65,0.37,1.13,108.0,Neversoft Entertainment,,,
Alien: Isolation,214490.0,1813,2014-10-06,Fall,PS,Misc,Sony Computer Entertainment,0.63,0.43,1.13,,,,,
Counter-Strike,10.0,1837,2000-11-01,Fall,PS2,Action,Activision,0.63,0.37,1.11,,,,,
Bully: Scholarship Edition,12200.0,1945,2008-10-21,Fall,PS2,Sports,Electronic Arts,0.52,0.41,1.06,37.0,EA Canada,,,
Darksiders,50620.0,1958,2010-09-23,Fall,X360,Shooter,Electronic Arts,0.65,0.3,1.06,152.0,Pandemic Studios,,,
LEGO Marvel Super Heroes,249130.0,1960,2013-11-15,Fall,PS3,Simulation,Sony Computer Entertainment,0.49,0.39,1.06,183.0,Incognito Inc.,,,
Sleeping Dogs,202170.0,1988,,,PS,Racing,Acclaim Entertainment,0.58,0.39,1.04,,Climax Group,,,
Brink,22350.0,2002,2011-05-09,Spring,PS2,Racing,THQ,0.86,0.03,1.03,17.0,Rainbow Studios,,,
Tomb Raider,203160.0,2015,2013-03-04,Spring,PS,Fighting,Virgin Interactive,0.38,0.12,1.03,46.0,Capcom,14.99,86,153623
Grand Theft Auto: San Andreas,12120.0,2116,2005-06-06,Summer,PS3,Sports,Electronic Arts,0.89,0.0,0.97,33.0,EA Tiburon,,,
Brutal Legend,225260.0,2119,2013-02-26,Winter,PS3,Action,Disney Interactive Studios,0.49,0.32,0.97,47.0,Avalanche Software,,,
Far Cry 3,220240.0,2137,2012-11-28,Fall,PS4,Shooter,Take-Two Interactive,0.36,0.41,0.96,894.0,Turtle Rock Studios,,,
Sniper Elite V2,63380.0,2153,,,XB,Sports,Global Star,0.88,0.04,0.95,22.0,Visual Concepts,,,
Brutal Legend,225260.0,2201,2013-02-26,Winter,Wii,Sports,Activision,0.69,0.17,0.94,21.0,Buzz Monkey,,,
Rise of the Tomb Raider,391220.0,2205,2016-02-09,Winter,XB,Action,Ubisoft,0.57,0.33,0.94,72.0,Ubisoft,,,
Bayonetta,460790.0,2226,2017-04-11,Spring,PS2,Sports,Sony Computer Entertainment,0.77,0.03,0.93,19.0,SCEA,,,
Borderlands 2,49520.0,2239,2012-09-20,Fall,PS2,Action,Konami Digital Entertainment,0.45,0.35,0.92,31.0,KCE Studios,,,
South Park: The Stick of Truth,213670.0,2249,2014-03-05,Spring,X360,Role-Playing,Ubisoft,0.58,0.26,0.92,363.0,Obsidian Entertainment,,,
South Park: The Stick of Truth,213670.0,2250,2014-03-05,Spring,PS,Sports,Electronic Arts,0.51,0.35,0.92,,,,,
Street Fighter V,310950.0,2291,2016-02-15,Winter,XOne,Action,Square Enix,0.44,0.39,0.9,186.0,Avalanche Studios,,,
Just Cause 3,225540.0,2292,2015-11-30,Fall,SNES,Racing,ASCII Entertainment,0.0,0.0,0.9,,,,,
Far Cry 4,298110.0,2298,2014-11-18,Fall,X360,Action,Namco Bandai Games,0.48,0.32,0.9,818.0,CD Projekt Red Studio,,,
Homefront,55100.0,2300,2011-03-14,Spring,PS,Racing,Psygnosis,0.5,0.34,0.9,,,,,
The Elder Scrolls Online,306130.0,2304,2014-04-04,Spring,PS,Action,989 Studios,0.5,0.34,0.9,,,,,
LEGO Marvel Super Heroes,249130.0,2314,2013-11-15,Fall,PS3,Misc,Activision,0.42,0.34,0.9,49.0,FreeStyleGames,,,
Call of Duty: World at War,10090.0,2342,2008-11-18,Fall,PS3,Sports,Electronic Arts,0.52,0.25,0.89,17.0,Electronic Arts,19.99,83,42754
Sleeping Dogs,202170.0,2384,,,X360,Role-Playing,Electronic Arts,0.55,0.24,0.87,446.0,Big Huge Games,,,
Kingdoms of Amalur: Reckoning,102500.0,2385,,,PSP,Strategy,Konami Digital Entertainment,0.32,0.26,0.87,,,,,
Kingdoms of Amalur: Reckoning,102500.0,2437,,,PS,Action,GT Interactive,0.47,0.32,0.85,,,,,
The Evil Within,268050.0,2466,2014-10-13,Fall,PS2,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.84,89.0,Level 5,,,
Sniper Elite V2,63380.0,2471,,,GBA,Adventure,Nintendo,0.6,0.22,0.84,132.0,Nintendo,,,
DmC: Devil May Cry,220440.0,2588,2013-01-24,Winter,PS,Racing,Take-Two Interactive,0.44,0.3,0.79,6.0,Deibus Studios,,,
Doom,379720.0,2619,2016-05-12,Spring,X360,Action,Ubisoft,0.67,0.04,0.78,148.0,Ubisoft Shanghai,,,
The Sims 3,47890.0,2698,2009-06-02,Summer,XB,Fighting,Midway Games,0.61,0.12,0.76,24.0,Midway,,,
Portal 2,620.0,2704,2011-04-18,Spring,PS3,Shooter,Take-Two Interactive,0.33,0.31,0.76,278.0,"Gearbox Software, 3D Realms",,,
Titanfall 2,1237970.0,2719,2016-10-28,Fall,PS3,Action,Sony Computer Entertainment,0.18,0.37,0.75,30.0,Game Republic,,,
Metal Gear Solid V: The Phantom Pain,287700.0,2721,2015-09-01,Fall,X360,Sports,Take-Two Interactive,0.28,0.38,0.75,69.0,Rockstar San Diego,,,
